"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","wdsp","visib","prcp","sndp","fog","NUM_CRIMES"
"1",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,28.4,5.1,10,0,999.9,0,0.347648261758691
"2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,34.3,4.9,4.9,0.08,999.9,0,0.296523517382413
"3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,30.6,9.2,2.9,0.54,2,0,0.0224948875255624
"4",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,4.5,11.3,10,0.03,1.2,0,0.0408997955010225
"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,9.2,8,6.7,0.11,2,0,0
"6",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,10.3,15,7.1,0.05,3.1,0,0.177914110429448
"7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,8,11.6,10,0,2,0,0.294478527607362
"8",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,27.7,10,9.2,0,3.1,0,0.298568507157464
"9",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,26.3,8.7,6.8,0.15,3.9,0,0.212678936605317
"10",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,19.3,9.1,8.3,0.03,3.1,0,0.222903885480573
"11",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,13.5,5.3,9.8,0,3.1,0,0.351738241308793
"12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,23.5,9.1,9.7,0,3.1,0,0.531697341513292
"13",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,29.3,6,8.5,0,3.1,0,0.423312883435583
"14",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,36.8,12.1,8.3,0,1.2,0,0.486707566462168
"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,38.7,10.9,10,0,999.9,0,0.398773006134969
"16",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,34,4.5,10,0,999.9,0,0.419222903885481
"17",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,36.6,4.3,6.7,0,999.9,0,0.593047034764826
"18",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,34.2,7.2,5.7,0.01,999.9,0,0.494887525562372
"19",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,32.2,4.8,9.8,0,999.9,0,0.50920245398773
"20",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,31.7,10.2,8.2,0,999.9,0,0.607361963190184
"21",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,35.1,8.5,9.7,0,999.9,0,0.517382413087935
"22",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,34.1,10.3,6.4,0,1.2,0,0.292433537832311
"23",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,25.9,7.3,9,0.06,1.2,0,0.312883435582822
"24",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,29.3,6.1,5.8,0.04,1.2,0,0.351738241308793
"25",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,28.7,6.8,10,0,999.9,0,0.292433537832311
"26",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,36.1,12.7,9.3,0.03,999.9,0,0.408997955010225
"27",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,29.7,9.2,9.8,0,999.9,0,0.431492842535787
"28",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,30.3,6.5,10,0,999.9,0,0.2719836400818
"29",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,31.8,11.2,1.4,0.25,13,1,0.120654396728016
"30",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,16.7,7.5,8.9,0,16.9,1,0.016359918200409
"31",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,25.4,6.4,4.5,0.05,16.1,0,0.151329243353783
"32",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,11.4,7.1,10,0,15,0,0.141104294478528
"33",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,20.2,9.4,9.8,0,14.2,0,0.394683026584867
"34",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,33.6,7.2,9.6,0,11,0,0.359918200408998
"35",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,38.5,7.8,7.1,0,5.1,0,0.229038854805726
"36",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,29.3,13.4,6.9,0,3.9,0,0.212678936605317
"37",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,28.4,7.1,9.6,0,3.9,0,0.257668711656442
"38",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,32.6,10,8.9,0,3.1,0,0.210633946830266
"39",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,18.3,13.8,9.4,0,3.1,0,0.220858895705521
"40",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,14.5,8.4,10,0,3.1,0,0.263803680981595
"41",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,21.1,15.9,9.2,0,3.1,0,0.192229038854806
"42",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,7.3,9.4,7.6,0,3.1,0,0.100204498977505
"43",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,12.8,4.2,10,0,3.1,0,0.0695296523517382
"44",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,18.2,9.1,8.7,0,3.1,0,0.192229038854806
"45",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,9.6,12.8,9.9,0,3.1,0,0.016359918200409
"46",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,7,8.8,9.3,0,3.1,0,0.302658486707566
"47",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,23.4,6.3,9.3,0,3.1,0,0.304703476482618
"48",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,24.3,8.7,9,0,3.1,0,0.184049079754601
"49",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,7.7,9.8,10,0,3.1,0,0.141104294478528
"50",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,13.9,12.6,10,0,3.1,0,0.255623721881391
"51",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,24.1,7.9,8.9,0,3.1,0,0.139059304703476
"52",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,20.2,11.5,3.1,0.06,7.1,1,0.0286298568507157
"53",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,10,6.7,10,0,5.9,0,0.276073619631902
"54",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,11,4.6,10,0,5.9,0,0.0858895705521472
"55",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2015,22,5.1,7.3,0,5.9,0,0.517382413087935
"56",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2015,23.8,6.6,10,0.01,5.1,0,0.316973415132924
"57",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2015,30.7,10.6,6.5,0.04,3.9,0,0.2719836400818
"58",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2015,26.6,10.4,10,0.06,3.9,0,0.120654396728016
"59",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2015,15.2,8.9,10,0,3.9,0,0.222903885480573
"60",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2015,14.7,10.4,10,0,3.9,0,0.427402862985685
"61",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2015,34.1,10.6,10,0,2,0,0.396728016359918
"62",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2015,37.1,6.7,10,0,1.2,0,0.249488752556237
"63",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2015,40,4.7,10,0,1.2,0,0.456032719836401
"64",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2015,43.9,6.2,4.6,0,999.9,1,0.511247443762781
"65",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2015,44.7,6.5,6.5,0,999.9,1,0.496932515337423
"66",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2015,44.9,6.5,10,0,999.9,0,0.507157464212679
"67",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2015,50.6,6.3,10,0,999.9,0,0.6359918200409
"68",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2015,52.5,8.2,9.7,0,999.9,0,0.603271983640082
"69",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2015,47.6,6.7,10,0,999.9,0,0.562372188139059
"70",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2015,61.3,11.7,10,0,999.9,0,0.56441717791411
"71",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2015,44.1,15,10,0,999.9,0,0.386503067484663
"72",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2015,38.8,4.3,10,0,999.9,0,0.38241308793456
"73",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2015,44.4,7.4,10,0,999.9,0,0.437627811860941
"74",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2015,44,7.8,9.3,0,999.9,0,0.556237218813906
"75",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2015,43,11.4,8.1,0,999.9,0,0.380368098159509
"76",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2015,34.8,10,9.8,0,999.9,0,0.312883435582822
"77",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2015,31.4,11.5,6.6,0.07,3.1,1,0.18200408997955
"78",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2015,32.4,9.1,9.9,0.08,2,0,0.278118609406953
"79",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2015,40.7,11,7,0.17,999.9,0,0.449897750511247
"80",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2015,39.7,8.1,9.7,0.13,999.9,0,0.370143149284254
"81",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2015,30.8,12.1,8.3,0.01,1.2,0,0.45398773006135
"82",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2015,29.2,6.2,10,0,999.9,0,0.314928425357873
"83",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2015,34.9,12.4,10,0,999.9,0,0.23721881390593
"84",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2015,49.1,9,10,0.04,999.9,0,0.441717791411043
"85",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2015,50.1,9.4,9.2,0,999.9,0,0.388548057259714
"86",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,55.9,8.5,10,0,999.9,0,0.867075664621677
"87",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,60.6,11,9.5,0.02,999.9,0,0.595092024539877
"88",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,52,8.9,10,0.25,999.9,0,0.423312883435583
"89",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,42.9,10.7,10,0,999.9,0,0.390593047034765
"90",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,56.3,10.3,10,0,999.9,0,0.347648261758691
"91",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,55,6.3,10,0,999.9,0,0.353783231083845
"92",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,43.6,10.5,5.1,0.11,999.9,0,0.204498977505112
"93",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,47.2,7.6,3.2,0.04,999.9,1,0.359918200408998
"94",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,54.6,9.1,4.3,0.21,999.9,0,0.296523517382413
"95",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,54.5,19.2,9.8,0.82,999.9,0,0.431492842535787
"96",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,50.5,7.2,10,0,999.9,0,0.443762781186094
"97",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,58.8,8,10,0,999.9,0,0.552147239263804
"98",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,63.3,10.5,9.8,0.11,999.9,0,0.474437627811861
"99",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,58.2,5.1,10,0.03,999.9,0,0.539877300613497
"100",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,56,9.6,10,0,999.9,0,0.603271983640082
"101",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,54.8,7.1,8.8,0.34,999.9,0,0.374233128834356
"102",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,62.4,3.8,9.1,0,999.9,0,0.576687116564417
"103",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,62.3,7.4,10,0,999.9,0,0.543967280163599
"104",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,57.5,8.7,9.4,0,999.9,0,0.408997955010225
"105",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,50.8,14.1,7,0.42,999.9,0,0.49079754601227
"106",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,47.6,16.2,10,0,999.9,0,0.32719836400818
"107",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,42.2,12.7,9.9,0,999.9,0,0.366053169734151
"108",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,44.5,7.9,10,0,999.9,0,0.466257668711656
"109",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,47.5,4.3,10,0,999.9,0,0.52760736196319
"110",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,45.9,13.1,8.8,0.29,999.9,0,0.392638036809816
