"","day","year","mo","da","temp","visib","wdsp","prcp","sndp","fog","NUM_CRIMES"
"1",5,2015,1,1,22.3,10,15,0,999.9,0,1222
"2",6,2015,1,2,28.4,10,5.1,0,999.9,0,673
"3",7,2015,1,3,34.3,4.9,4.9,0.08,999.9,0,648
"4",1,2015,1,4,30.6,2.9,9.2,0.54,2,0,514
"5",2,2015,1,5,4.5,10,11.3,0.03,1.2,0,523
"6",3,2015,1,6,9.2,6.7,8,0.11,2,0,503
"7",4,2015,1,7,5.4,10,15.4,0,2,0,474
"8",5,2015,1,8,0.4,8.2,13.2,0,3.1,0,448
"9",6,2015,1,9,10.3,7.1,15,0.05,3.1,0,590
"10",7,2015,1,10,8,10,11.6,0,2,0,647
"11",1,2015,1,11,27.7,9.2,10,0,3.1,0,649
"12",2,2015,1,12,26.3,6.8,8.7,0.15,3.9,0,607
"13",3,2015,1,13,19.3,8.3,9.1,0.03,3.1,0,612
"14",4,2015,1,14,13.5,9.8,5.3,0,3.1,0,675
"15",5,2015,1,15,23.5,9.7,9.1,0,3.1,0,763
"16",6,2015,1,16,29.3,8.5,6,0,3.1,0,710
"17",7,2015,1,17,36.8,8.3,12.1,0,1.2,0,741
"18",1,2015,1,18,38.7,10,10.9,0,999.9,0,698
"19",2,2015,1,19,34,10,4.5,0,999.9,0,708
"20",3,2015,1,20,36.6,6.7,4.3,0,999.9,0,793
"21",4,2015,1,21,34.2,5.7,7.2,0.01,999.9,0,745
"22",5,2015,1,22,32.2,9.8,4.8,0,999.9,0,752
"23",6,2015,1,23,31.7,8.2,10.2,0,999.9,0,800
"24",7,2015,1,24,35.1,9.7,8.5,0,999.9,0,756
"25",1,2015,1,25,34.1,6.4,10.3,0,1.2,0,646
"26",2,2015,1,26,25.9,9,7.3,0.06,1.2,0,656
"27",3,2015,1,27,29.3,5.8,6.1,0.04,1.2,0,675
"28",4,2015,1,28,28.7,10,6.8,0,999.9,0,646
"29",5,2015,1,29,36.1,9.3,12.7,0.03,999.9,0,703
"30",6,2015,1,30,29.7,9.8,9.2,0,999.9,0,714
"31",7,2015,1,31,30.3,10,6.5,0,999.9,0,636
"32",1,2015,2,1,31.8,1.4,11.2,0.25,13,1,562
"33",2,2015,2,2,18.1,5,14.2,0.21,16.9,1,474
"34",3,2015,2,3,16.7,8.9,7.5,0,16.9,1,511
"35",4,2015,2,4,25.4,4.5,6.4,0.05,16.1,0,577
"36",5,2015,2,5,11.4,10,7.1,0,15,0,572
"37",6,2015,2,6,20.2,9.8,9.4,0,14.2,0,696
"38",7,2015,2,7,33.6,9.6,7.2,0,11,0,679
"39",1,2015,2,8,38.5,7.1,7.8,0,5.1,0,615
"40",2,2015,2,9,29.3,6.9,13.4,0,3.9,0,607
"41",3,2015,2,10,28.4,9.6,7.1,0,3.9,0,629
"42",4,2015,2,11,32.6,8.9,10,0,3.1,0,606
"43",5,2015,2,12,18.3,9.4,13.8,0,3.1,0,611
"44",6,2015,2,13,14.5,10,8.4,0,3.1,0,632
"45",7,2015,2,14,21.1,9.2,15.9,0,3.1,0,597
"46",1,2015,2,15,7.3,7.6,9.4,0,3.1,0,552
"47",2,2015,2,16,12.8,10,4.2,0,3.1,0,537
"48",3,2015,2,17,18.2,8.7,9.1,0,3.1,0,597
"49",4,2015,2,18,9.6,9.9,12.8,0,3.1,0,511
"50",5,2015,2,19,1.3,9.7,11.9,0,3.1,0,463
"51",6,2015,2,20,7,9.3,8.8,0,3.1,0,651
"52",7,2015,2,21,23.4,9.3,6.3,0,3.1,0,652
"53",1,2015,2,22,24.3,9,8.7,0,3.1,0,593
"54",2,2015,2,23,7.7,10,9.8,0,3.1,0,572
"55",3,2015,2,24,13.9,10,12.6,0,3.1,0,628
"56",4,2015,2,25,24.1,8.9,7.9,0,3.1,0,571
"57",5,2015,2,26,20.2,3.1,11.5,0.06,7.1,1,517
"58",6,2015,2,27,10,10,6.7,0,5.9,0,638
"59",7,2015,2,28,11,10,4.6,0,5.9,0,545
"60",1,2015,3,1,22,7.3,5.1,0,5.9,0,756
"61",2,2015,3,2,23.8,10,6.6,0.01,5.1,0,658
