day,year,crime_date,mo,da,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_CRIMES
4,2015,2015-01-01,01,01,22.3,7.3,1020.6,10.0,15.0,18.1,26.0,32.0,6.1,0.0,999.9,0,1222
5,2015,2015-01-02,01,02,28.4,17.4,1024.5,10.0,5.1,15.0,17.1,36.0,17.1,0.0,999.9,0,673
6,2015,2015-01-03,01,03,34.3,28.9,1017.5,4.9,4.9,8.9,999.9,37.0,19.9,0.08,999.9,0,648
7,2015,2015-01-04,01,04,30.6,27.5,1013.0,2.9,9.2,18.1,26.0,37.0,16.0,0.54,2.0,0,514
1,2015,2015-01-05,01,05,4.5,-5.8,1036.3,10.0,11.3,15.0,25.1,14.0,-0.9,0.03,1.2,0,523
2,2015,2015-01-06,01,06,9.2,1.6,1029.7,6.7,8.0,15.9,24.1,12.0,-0.9,0.11,2.0,0,503
3,2015,2015-01-07,01,07,5.4,-6.8,1035.8,10.0,15.4,21.0,28.9,12.0,1.0,0.0,2.0,0,474
4,2015,2015-01-08,01,08,0.4,-7.8,1033.5,8.2,13.2,22.0,31.1,14.0,-7.1,0.0,3.1,0,448
5,2015,2015-01-09,01,09,10.3,0.7,1021.1,7.1,15.0,22.0,35.0,19.9,-7.1,0.05,3.1,0,590
6,2015,2015-01-10,01,10,8.0,-1.7,1031.8,10.0,11.6,15.9,22.0,21.0,0.0,0.0,2.0,0,647
7,2015,2015-01-11,01,11,27.7,16.7,1026.4,9.2,10.0,14.0,999.9,34.0,21.9,0.0,3.1,0,649
1,2015,2015-01-12,01,12,26.3,19.8,1032.2,6.8,8.7,17.1,25.1,34.0,19.9,0.15,3.9,0,607
2,2015,2015-01-13,01,13,19.3,10.8,1040.2,8.3,9.1,15.0,17.1,30.0,17.1,0.03,3.1,0,612
3,2015,2015-01-14,01,14,13.5,6.3,1030.9,9.8,5.3,8.9,999.9,23.0,5.0,0.0,3.1,0,675
4,2015,2015-01-15,01,15,23.5,15.9,1021.0,9.7,9.1,17.1,19.0,36.0,5.0,0.0,3.1,0,763
5,2015,2015-01-16,01,16,29.3,23.2,1020.5,8.5,6.0,12.0,999.9,36.0,17.1,0.0,3.1,0,710
6,2015,2015-01-17,01,17,36.8,28.6,1010.6,8.3,12.1,19.0,27.0,44.1,21.9,0.0,1.2,0,741
7,2015,2015-01-18,01,18,38.7,30.6,1008.8,10.0,10.9,14.0,21.0,44.1,30.0,0.0,999.9,0,698
1,2015,2015-01-19,01,19,34.0,28.6,1016.2,10.0,4.5,8.9,999.9,43.0,27.0,0.0,999.9,0,708
2,2015,2015-01-20,01,20,36.6,32.2,1012.8,6.7,4.3,9.9,999.9,43.0,27.0,0.0,999.9,0,793
3,2015,2015-01-21,01,21,34.2,30.0,1017.6,5.7,7.2,11.1,999.9,39.9,33.1,0.01,999.9,0,745
4,2015,2015-01-22,01,22,32.2,23.8,1028.9,9.8,4.8,8.0,999.9,36.0,30.0,0.0,999.9,0,752
5,2015,2015-01-23,01,23,31.7,24.3,1024.7,8.2,10.2,14.0,999.9,34.0,30.0,0.0,999.9,0,800
6,2015,2015-01-24,01,24,35.1,27.7,1008.6,9.7,8.5,14.0,17.1,45.0,30.0,0.0,999.9,0,756
7,2015,2015-01-25,01,25,34.1,30.2,1007.8,6.4,10.3,20.0,27.0,37.0,28.4,0.0,1.2,0,646
1,2015,2015-01-26,01,26,25.9,18.1,1015.5,9.0,7.3,15.0,22.0,37.9,21.0,0.06,1.2,0,656
2,2015,2015-01-27,01,27,29.3,22.5,1019.7,5.8,6.1,11.1,999.9,33.1,21.0,0.04,1.2,0,675
3,2015,2015-01-28,01,28,28.7,18.5,1024.7,10.0,6.8,14.0,24.1,36.0,24.1,0.0,999.9,0,646
4,2015,2015-01-29,01,29,36.1,26.1,1012.3,9.3,12.7,18.1,26.0,39.0,24.1,0.03,999.9,0,703
5,2015,2015-01-30,01,30,29.7,13.3,1030.9,9.8,9.2,18.1,22.9,39.0,23.0,0.0,999.9,0,714
6,2015,2015-01-31,01,31,30.3,20.6,1026.6,10.0,6.5,15.0,999.9,39.0,23.0,0.0,999.9,0,636
7,2015,2015-02-01,02,01,31.8,28.6,1016.6,1.4,11.2,21.0,31.1,39.0,23.0,0.25,13.0,1,562
1,2015,2015-02-02,02,02,18.1,11.5,1020.3,5.0,14.2,25.1,33.0,33.1,10.0,0.21,16.9,1,474
2,2015,2015-02-03,02,03,16.7,10.0,1023.6,8.9,7.5,11.1,999.9,27.0,8.1,0.0,16.9,1,511
3,2015,2015-02-04,02,04,25.4,19.8,1019.8,4.5,6.4,14.0,20.0,30.0,8.1,0.05,16.1,0,577
4,2015,2015-02-05,02,05,11.4,0.2,1032.0,10.0,7.1,13.0,18.1,30.0,3.0,0.0,15.0,0,572
5,2015,2015-02-06,02,06,20.2,10.6,1024.2,9.8,9.4,15.0,17.1,32.0,3.0,0.0,14.2,0,696
6,2015,2015-02-07,02,07,33.6,27.1,1012.6,9.6,7.2,11.1,21.0,43.0,15.1,0.0,11.0,0,679
7,2015,2015-02-08,02,08,38.5,34.5,1005.1,7.1,7.8,17.1,999.9,44.1,25.0,0.0,5.1,0,615
1,2015,2015-02-09,02,09,29.3,24.6,1019.7,6.9,13.4,15.9,22.9,42.1,27.0,0.0,3.9,0,607
2,2015,2015-02-10,02,10,28.4,19.1,1024.5,9.6,7.1,13.0,17.1,33.1,25.0,0.0,3.9,0,629
3,2015,2015-02-11,02,11,32.6,24.3,1017.9,8.9,10.0,15.9,21.0,37.9,25.0,0.0,3.1,0,606
4,2015,2015-02-12,02,12,18.3,4.6,1027.4,9.4,13.8,20.0,28.0,37.9,10.9,0.0,3.1,0,611
5,2015,2015-02-13,02,13,14.5,3.9,1027.7,10.0,8.4,14.0,999.9,25.0,7.0,0.0,3.1,0,632
6,2015,2015-02-14,02,14,21.1,8.7,1017.6,9.2,15.9,28.0,41.0,28.9,7.0,0.0,3.1,0,597
7,2015,2015-02-15,02,15,7.3,-4.4,1035.1,7.6,9.4,15.9,20.0,28.9,0.0,0.0,3.1,0,552
1,2015,2015-02-16,02,16,12.8,-4.8,1026.6,10.0,4.2,8.9,999.9,19.0,0.0,0.0,3.1,0,537
2,2015,2015-02-17,02,17,18.2,7.3,1016.3,8.7,9.1,15.9,999.9,21.9,8.1,0.0,3.1,0,597
3,2015,2015-02-18,02,18,9.6,-2.8,1015.8,9.9,12.8,18.1,24.1,21.9,5.0,0.0,3.1,0,511
4,2015,2015-02-19,02,19,1.3,-14.1,1029.4,9.7,11.9,17.1,22.9,10.9,-5.1,0.0,3.1,0,463
5,2015,2015-02-20,02,20,7.0,-5.0,1027.6,9.3,8.8,17.1,25.1,19.9,-5.1,0.0,3.1,0,651
6,2015,2015-02-21,02,21,23.4,13.5,1016.0,9.3,6.3,15.9,21.0,32.0,19.0,0.0,3.1,0,652
7,2015,2015-02-22,02,22,24.3,11.9,1029.0,9.0,8.7,14.0,20.0,33.1,15.1,0.0,3.1,0,593
1,2015,2015-02-23,02,23,7.7,-9.3,1039.9,10.0,9.8,15.0,21.0,30.0,0.0,0.0,3.1,0,572
2,2015,2015-02-24,02,24,13.9,2.1,1019.5,10.0,12.6,20.0,27.0,30.9,0.0,0.0,3.1,0,628
3,2015,2015-02-25,02,25,24.1,9.9,1014.2,8.9,7.9,14.0,18.1,32.0,6.1,0.0,3.1,0,571
4,2015,2015-02-26,02,26,20.2,12.3,1023.0,3.1,11.5,17.1,22.9,28.0,16.0,0.06,7.1,1,517
5,2015,2015-02-27,02,27,10.0,-3.5,1035.7,10.0,6.7,9.9,999.9,21.9,0.0,0.0,5.9,0,638
6,2015,2015-02-28,02,28,11.0,-1.6,1040.8,10.0,4.6,8.9,999.9,23.0,0.0,0.0,5.9,0,545
7,2015,2015-03-01,03,01,22.0,15.9,1031.2,7.3,5.1,12.0,999.9,27.0,19.0,0.0,5.9,0,756
1,2015,2015-03-02,03,02,23.8,12.4,1032.1,10.0,6.6,12.0,999.9,34.0,16.0,0.01,5.1,0,658
2,2015,2015-03-03,03,03,30.7,22.9,1018.9,6.5,10.6,15.0,22.9,37.0,16.0,0.04,3.9,0,636
3,2015,2015-03-04,03,04,26.6,14.8,1017.7,10.0,10.4,15.0,21.0,37.0,19.9,0.06,3.9,0,562
4,2015,2015-03-05,03,05,15.2,-2.2,1031.7,10.0,8.9,12.0,15.9,33.1,9.0,0.0,3.9,0,612
5,2015,2015-03-06,03,06,14.7,3.4,1032.2,10.0,10.4,18.1,26.0,27.0,6.1,0.0,3.9,0,712
6,2015,2015-03-07,03,07,34.1,23.6,1019.9,10.0,10.6,15.9,20.0,46.0,25.0,0.0,2.0,0,697
7,2015,2015-03-08,03,08,37.1,28.2,1022.0,10.0,6.7,11.1,999.9,46.0,26.1,0.0,1.2,0,625
1,2015,2015-03-09,03,09,40.0,27.1,1021.9,10.0,4.7,7.0,999.9,52.0,28.0,0.0,1.2,0,726
2,2015,2015-03-10,03,10,43.9,38.1,1017.6,4.6,6.2,12.0,999.9,54.0,28.0,0.0,999.9,1,753
3,2015,2015-03-11,03,11,44.7,34.4,1022.5,6.5,6.5,12.0,999.9,54.0,36.0,0.0,999.9,1,746
4,2015,2015-03-12,03,12,44.9,27.7,1031.6,10.0,6.5,14.0,21.0,57.9,33.1,0.0,999.9,0,751
5,2015,2015-03-13,03,13,50.6,31.5,1023.5,10.0,6.3,9.9,999.9,64.9,33.1,0.0,999.9,0,814
6,2015,2015-03-14,03,14,52.5,38.6,1016.6,9.7,8.2,15.0,28.9,64.9,41.0,0.0,999.9,0,798
7,2015,2015-03-15,03,15,47.6,33.3,1022.3,10.0,6.7,15.0,22.9,64.0,34.0,0.0,999.9,0,778
1,2015,2015-03-16,03,16,61.3,39.0,1013.3,10.0,11.7,18.1,27.0,73.9,51.1,0.0,999.9,0,779
2,2015,2015-03-17,03,17,44.1,25.4,1022.2,10.0,15.0,24.1,34.0,73.9,36.0,0.0,999.9,0,692
3,2015,2015-03-18,03,18,38.8,14.2,1027.5,10.0,4.3,9.9,999.9,50.0,30.0,0.0,999.9,0,690
