day,crime_date,mo,da,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_CRIMES
2,2019-01-01,01,01,32.6,29.4,1019.8,7.7,9.1,19.0,28.0,39.9,28.0,0.66,999.9,0,1040
3,2019-01-02,01,02,29.5,25.7,1023.2,6.5,6.7,15.9,22.0,32.0,27.0,0.0,999.9,0,654
4,2019-01-03,01,03,30.8,23.5,1017.9,9.7,9.8,12.0,20.0,41.0,25.0,0.0,999.9,0,752
5,2019-01-04,01,04,37.9,28.0,1010.7,10.0,8.4,13.0,24.1,50.0,32.0,0.0,999.9,0,767
6,2019-01-05,01,05,39.8,32.4,1009.9,10.0,6.8,13.0,19.0,53.1,30.9,0.0,999.9,0,792
7,2019-01-06,01,06,40.2,32.3,1021.6,10.0,9.5,17.1,22.9,46.9,37.0,0.0,999.9,0,664
1,2019-01-07,01,07,45.6,39.8,1011.7,8.8,15.5,21.0,29.9,55.4,39.9,0.0,999.9,0,676
2,2019-01-08,01,08,42.8,35.2,1009.1,8.2,11.9,22.9,38.1,54.0,37.9,0.38,999.9,0,700
3,2019-01-09,01,09,23.8,10.4,1022.7,9.6,15.0,22.0,35.9,39.0,19.4,0.0,999.9,0,631
4,2019-01-10,01,10,19.4,8.2,1030.8,10.0,6.8,13.0,15.9,25.0,15.1,0.0,999.9,0,686
5,2019-01-11,01,11,26.7,18.2,1029.6,9.5,4.4,9.9,18.1,30.9,21.0,0.0,999.9,0,784
6,2019-01-12,01,12,30.3,24.3,1027.6,5.6,8.0,14.0,21.0,30.9,30.0,0.0,3.1,1,672
7,2019-01-13,01,13,30.3,24.1,1028.9,6.9,13.3,17.1,24.1,32.0,28.4,0.07,3.1,0,573
1,2019-01-14,01,14,26.2,20.4,1029.2,9.2,7.0,12.0,999.9,30.0,21.0,0.0,3.1,0,635
2,2019-01-15,01,15,26.4,22.2,1023.9,6.5,10.9,15.9,27.0,28.9,24.1,0.0,3.1,0,696
3,2019-01-16,01,16,32.4,25.2,1022.9,7.9,8.8,15.0,21.0,35.1,28.0,0.0,2.0,0,699
4,2019-01-17,01,17,31.5,24.7,1022.1,7.5,5.4,11.1,999.9,36.0,28.9,0.0,1.2,0,653
5,2019-01-18,01,18,31.5,24.2,1021.1,9.0,7.9,17.1,999.9,35.1,30.0,0.0,1.2,0,667
6,2019-01-19,01,19,27.6,23.9,1018.5,4.7,16.4,22.9,33.0,30.9,25.0,0.03,5.9,0,520
7,2019-01-20,01,20,14.8,5.8,1024.4,7.8,14.5,21.0,28.9,26.1,8.1,0.01,5.9,0,493
1,2019-01-21,01,21,10.9,-0.2,1034.9,8.6,7.9,15.0,22.0,15.1,7.0,0.0,5.9,0,555
2,2019-01-22,01,22,20.3,10.0,1026.1,7.7,10.4,14.0,26.0,33.1,10.9,0.0,5.1,0,624
